ID,Tienda,Producto,Categoría,URL de Compra,URL de Imagen
1,Paris,Jeans Wide Leg Tiro Alto Cierre y Botón,Casual,https://www.paris.cl/jeans-wide-leg-tiro-alto-cierre-y-boton-156235.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/156235/variant/69b44c54a52955aedd0581f2/images/14824ba1-a626-4190-87fc-704a3bbefe96/156235-0450-002.jpg
2,Calvin Klein,Jeans Recto Talle Alto En Tono Azul Calvin Klein,Casual/Formal,https://www.paris.cl/jeans-recto-talle-alto-en-tono-azul-calvin-klein-MKIDJK2A4P.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/prd-cl/product-medias/a67b188d-8fc4-4304-809c-ebdb203cba7b/MKIDJK2A4P/MKIDJK2A4P-4/1772047805203-MKIDJK2A4P-4-1.jpg
3,Alaniz,Jeans Wide Leg Color sin Costura Costado,Casual,https://www.paris.cl/jeans-wide-leg-color-sin-costura-costado-775065.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/775065/variant/69aec955cf5d5fba5848276f/images/2b7f42bc-ee50-4dec-9f12-6de69b5c58e7/775065-0021-002.jpg
4,Alaniz,Pantalón Sastrero Tiro Alto con Pierna Recta,Formal/Casual,https://www.paris.cl/pantalon-sastrero-tiro-alto-con-pierna-recta-291762.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/291762/variant/69bc1d6e62967de00822aadd/images/0886f572-2296-4999-aba8-6c2b17237013/291762-0206-002.jpg
5,American Eagle,Jeans AE Jegging Ne(x)t Level High-Waisted Hi-rise,Casual,https://www.paris.cl/jeans-ae-jegging-next-level-high-waisted-hi-rise-191819.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/paris/191819/variant/images/f0e6be00-8f59-493a-89de-db6ed84e4005/191819-0460-002.jpg
6,Alaniz,Sweater Cuello Alto y Puños con Pasadedo,Casual/Formal,https://www.paris.cl/sweater-cuello-alto-y-punos-con-pasadedo-291757.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/291757/variant/696e54dc24e36ef755887694/images/cdd8a1f2-f1ea-4ff4-b555-b953f84ba446/291757-0035-002.jpg
7,Alaniz,Sweater Holgado Cuello Alto con Lana,Casual/Formal,https://www.paris.cl/sweater-holgado-cuello-alto-con-lana-294327.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/294327/variant/68dd320a03eaeb31f32a06ae/images/7304516b-dd46-412d-9e62-da94c020e775/294327-0026-002.jpg
8,Opposite,Sweater Básico Calado,Casual/Formal,https://www.paris.cl/sweater-basico-calado-294598.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/294598/variant/68dd82a03aa84c977768fd3b/images/22decbca-c2c8-45d5-8fa8-015ff9b3dbbc/294598-0674-002.jpg
9,Opposite,Sweater Básico Calado,Casual/Formal,https://www.paris.cl/sweater-basico-calado-294598.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/294598/variant/68dd82a03aa84c977768fd3b/images/22decbca-c2c8-45d5-8fa8-015ff9b3dbbc/294598-0674-002.jpg
10,Opposite,Chaqueta Corta Aviadora,Casual,https://www.paris.cl/chaqueta-corta-aviadora-277468.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/277468/variant/68c197d637ba1c6038c1c7d5/images/5a8651be-93cf-4300-b2ed-9dcf4a865632/277468-0001-002.jpg
