ID,Tienda,Producto,Categoría,URL de Compra,URL de Imagen
1,Rainforest,Camisa Semi Oxford Algodón,Formal/Casual,https://www.paris.cl/camisa-semi-oxford-algodon-755826.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/755826/variant/69a9ee3b78878051c327aa4c/images/774c1519-ed09-4194-818a-bb54214cfa97/755826-0100-002.jpg
2,Treino,"POLERON BOXY HEAVYWEIGHT ZIP ""LUCKY RABBIT"" NEGRO TREIN",Streetware,"POLERON BOXY HEAVYWEIGHT ZIP ""LUCKY RABBIT"" NEGRO TREINO – TREINO OFICIAL",https://treino.cl/cdn/shop/files/007_aa0aa89f-3ea8-46af-8a92-902690291c4b.png?v=1779993008&width=1080
3,Treino,"POLERA BOXY FIT ""LUCKY RABBIT"" BEIGE TREINO",Streetware,"POLERA BOXY FIT ""LUCKY RABBIT"" BEIGE TREINO – TREINO OFICIAL",https://treino.cl/cdn/shop/files/012_e5b7bdcf-6d35-408e-8624-4def10844030.png?v=1780002903&width=1080
4,Greenfield,Camisa Semi Oxford Lisa,Formal/Casual,https://www.paris.cl/camisa-semi-oxford-lisa-199048.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/199048/variant/68c199a33823108ae44ca6bc/images/28ecfedb-7d98-4b3a-b648-c5f1c1930e39/199048-0100-002.jpg
5,Treino,"POLERA SLIM FIT ""PORTAL FORTUNA"" NEGRA",Streetware,"POLERA SLIM FIT ""PORTAL FORTUNA"" NEGRA – TREINO OFICIAL",https://treino.cl/cdn/shop/files/087.jpg?v=1776804882&width=1080
6,Ferouch,Camisa Manga Larga Dublin Liso,Formal/Casual,https://www.paris.cl/camisa-manga-larga-dublin-liso-362265.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/362265/variant/694bd2beb167354f97133a4f/images/09d6bcaa-af6a-4c42-b8bb-933f7f3319c1/362265-0001-002.jpg
7,Dockers,Pantalon Casual Chino Straight,Formal/Casual,Pantalon Casual Chino Straight – Dockers® Chile,A2929-0018-1_1728x.jpg (720×873)
8,Falabella,Pantalon Cargo Poplin Negro,Streetware,https://www.falabella.com/falabella-cl/product/147991389/Pantalon-Cargo-Poplin-Negro/147991394,"https://media.falabella.com/falabellaCL/147991394_01/w=1200,h=1200,fit=pad"
9,Rainforest,Pantalon Cotelé Corte 5 Bolsillos,Casual,https://www.paris.cl/pantalon-cotele-corte-5-bolsillos-277431.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/277431/variant/69a9ee3b3cfddc36abb590c1/images/75431aea-c974-474c-a16b-3fc567eaf692/277431-0001-002.jpg
10,Opposite,Pantalón Jogger Cargo Pull On,Casual,https://www.paris.cl/pantalon-jogger-cargo-pull-on-238699.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/238699/variant/690ba385512c5f11c9bfe538/images/03f6707f-f612-4e9a-9104-8672f390a16e/238699-0209-002.jpg
11,Foster,Jeans Básico Skinny,Casual,https://www.paris.cl/jeans-basico-skinny-312719.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/312719/variant/6952cb72845a5af522a7a1fc/images/d34d6cd7-05bd-415e-aca6-d8500f18bd1a/312719-0420-002.jpg
12,Dockers,Pantalon Casual Chino Straight,Formal/Casual,Pantalon Casual Chino Straight – Dockers® Chile,https://www.dockers.cl/cdn/shop/files/A2929-0028-1_1728x.jpg?v=1777008435
13,Ripley,PANTALÓN DE BUZO HOMBRE ADIDAS,Sports,https://simple.ripley.cl/pantalon-de-buzo-hombre-adidas-in6143-algodon-gris-essentials-big-logo-cuffed-fleece-2000404695954?color_80=Gris,https://rimage.ripley.cl/home.ripley/Attachment/WOP/1/2000404695961/full_image-2000404695961.webp
14,Dockers,Pantalon Premium Signature Stain Defender,Formal/Casual,Pantalon Premium Signature Stain Defender – Dockers® Chile,https://www.dockers.cl/cdn/shop/files/0054R-0001-1_1728x.jpg?v=1777002788
15,Falabella,Polera Nike Pro Hombre Negro,Sports,https://www.falabella.com/falabella-cl/product/150207777/polera-nike-pro-hombre-negro/150207779,"https://media.falabella.com/falabellaCL/150207779_01/w=1200,h=1200,fit=pad"
16,Foster,Jeans Cinco Bolsillos Slim 1 Azul Oscuro,Formal/Casual,https://www.paris.cl/jeans-cinco-bolsillos-slim-1-azul-oscuro-312745.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/312745/variant/69b84a6de71f8100b4cc6556/images/ec8e6123-1960-49b5-9048-fc62374f3caf/312745-0401-002.jpg
17,Ferouch,Zapatos Baltimore Black,Formal,Zapatos Baltimore Black - Ferouch,4938626-1200-auto (1104×1600)
18,Ferouch,Zapatillas San Francisco Khaki,Casual,Zapatillas San Francisco Khaki - Ferouch,4936676-1200-auto (1104×1600)
19,Falabella,Trainer 3 Zapatilla Training Y Gimnasio Hombre Negro Nike,Sports,https://www.falabella.com/falabella-cl/product/80007939/M-Mc-Trainer-3-Zapatilla-Cross-Training-Hombre-Negro-Nike/80008068,"https://media.falabella.com/falabellaCL/80008068_1/w=1200,h=1200,fit=pad"
20,Rainforest,Parka Básica Manga Larga,Formal/Casual,https://www.paris.cl/parka-basica-manga-larga-281286.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/281286/variant/68c382fe185d6a4c39614ada/images/c0963793-64c8-4448-a574-0f0bc35b50bb/281286-0001-002.jpg
21,Paris ,Chaqueta Cotelé,Casual,https://www.paris.cl/chaqueta-cotele-297982.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/297982/variant/69bd413a079adb87f3c217a7/images/5d13e0bc-31ad-4554-9b46-84b847e3559c/297982-0201-002.jpg
22,Gnomo,Impermeable Vanir Hombre Gnomo,Casual/Sports,https://www.paris.cl/impermeable-vanir-hombre-gnomo-MKZKTYEXCW.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/prd-cl/product-medias/35f60779-ee04-4b13-9980-a6fa29ff1373/MKZKTYEXCW/MKZKTYEXCW-1/1780435157967-MKZKTYEXCW-1-2.jpg
23,Paris ,Parka sin Manga,Formal/Casual,https://www.paris.cl/parka-sin-manga-281299012.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/640x0/filters:quality(75)/cl/paris/281299/variant/68c38301185d6a4c39614ced/images/da8156c5-c15c-45fa-8407-fb9a5d4cf7a2/281299-0301-001.jpg
24,Foster,Chaqueta Trucker Jeans Detalle Cuello,Casual,https://www.paris.cl/chaqueta-trucker-jeans-detalle-cuello-258726.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/258726/variant/6952cb90c9ce48696fce5585/images/621c5b12-52b7-4836-bc37-075cf292eb5b/258726-0001-002.jpg
25,Foster,Chaqueta Sobrecamisa Denim,Casual,https://www.paris.cl/chaqueta-sobrecamisa-denim-199117.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/199117/variant/68c197e5448a43e8a410dd60/images/7b126ad9-2132-4050-ab94-c4d90379fc2c/199117-0201-002.jpg
26,Cycorecords,Julio Iglesias - Jurame - Metal - Polera,Casual,Julio Iglesias - Jurame - Metal - Polera – Cyco Records,p-sk10042044-1-02457e17-86bb-44e3-a251-80a2a013e532.jpg (1214×1214)
27,Cycorecords,Meme - Orgulllosamente Deudor del Cae - Polera,Casual,Meme - Orgulllosamente Deudor del Cae - Polera – Cyco Records,p-sk27032033-1-529f71f0-372d-46e4-a612-182feb393fec.jpg (1214×1214)
28,Adidas,Shorts Workout Essentials All-Set,Sports,https://www.adidas.cl/shorts-workout-essentials-all-set/KE8069.html,"https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/c8c5fa8852a4490c9fbe26f5dad177f0_9366/Shorts_Workout_Essentials_All-Set_Negro_KE8069_01_laydown.jpg"
29,Greenfield,Abrigo Montgomery Forro Checks,Formal/Casual,https://www.paris.cl/abrigo-montgomery-forro-checks-281258.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/281258/variant/68c382ee293f22dfe6232953/images/5645269c-597f-4e52-aa83-4ba8a5515d55/281258-0021-002.jpg
30,Levi´s,Chaqueta Hombre Military Verde Levis 59491-0548,Formal/Casual,https://www.paris.cl/chaqueta-hombre-military-verde-levis-59491-0548-MKSIVM5UQD.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/prd-cl/product-medias/dacba159-9afd-4a03-9e3f-a9f1e255f414/MKSIVM5UQD/MKSIVM5UQD-4/1779909166958-MKSIVM5UQD-4-1.jpg
31,Falabella,Polerón Deportivo Hombre Diadora,Sports,https://www.falabella.com/falabella-cl/product/883604888/POLERON-DEPORTI-SZ.M.NSTOP/883661527,"https://media.falabella.com/falabellaCL/883661527_1/w=1200,h=1200,fit=pad"
32,Arrow,Abrigo Recto Liso Regular Fit Beige Arrow AB33001BE,Formal/Casual,https://www.paris.cl/abrigo-recto-liso-regular-fit-beige-arrow-ab33001be-MKW37F0HGZ.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/prd-cl/product-medias/b65d9d2b-170a-476f-acee-64858148fdc0/MKW37F0HGZ/MKW37F0HGZ-2/1771879335956-MKW37F0HGZ-2-2.jpg
33,Dockers,Chaqueta Wool Blnd Scarf Coat,Formal/Casual,Chaqueta Wool Blnd Scarf Coat – Dockers® Chile,87641-0001-2_1_720x.jpg (720×873)
34,Zara,VESTIDO SATINADO HALTER ZW COLLECTION,Formal/Casual,VESTIDO SATINADO HALTER ZW COLLECTION - Marrón | ZARA Chile,02111987700-000-p.jpg (1024×1536)
35,Falabella,Polerón Converse Basic Hoodie Hombre Negro,Casual,https://www.falabella.com/falabella-cl/product/153488035/poleron-converse-basic-hoodie-hombre-negro/153488041,"https://media.falabella.com/falabellaCL/153488041_01/w=1200,h=1200,fit=pad"
36,Alaniz,Camisa Poplin Elastano,Casual,https://www.paris.cl/camisa-poplin-elastano-989390.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/989390/variant/688246e40208eb91d2fffbf7/images/84cd5b1f-ac16-4537-a469-3b1bd31561c3/989390-0001-002.jpg
37,Ferouch,Traje De Baño Sea Coral,Casual/Sport,https://www.paris.cl/traje-de-bano-sea-coral-MKYBMO9KZ2.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/prd-cl/product-medias/108ae686-1ded-42f9-8ec3-0ed532e5dbe6/MKYBMO9KZ2/MKYBMO9KZ2-3/1695850631118-MKYBMO9KZ2-3-1.jpg
38,Arrow,Short De Baño Print Arrow SH32003NB,Casual/Sport,https://www.paris.cl/short-de-bano-print-arrow-sh32003nb-MKDGO67E09.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/prd-cl/product-medias/b65d9d2b-170a-476f-acee-64858148fdc0/MKDGO67E09/MKDGO67E09-1/1763134133505-MKDGO67E09-1-2.jpg
39,Cycorecords,Gato meme - Lactose Intolerant - Polera,Casual,Gato meme - Lactose Intolerant - Polera – Cyco Records,p-sk17102058-1-3aca4ca5-ef8f-4547-b27b-4a03d181cfc6.jpg (1214×1214)
40,Look Shop,Pantalón Corto Hombre Lino. Short Premium Liviano,Casual,https://www.paris.cl/pantalon-corto-hombre-lino-short-premium-liviano-casual-7148-MKJTKF3R4X.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/prd-cl/product-medias/98064293-a235-4652-a365-c09c939e6107/MKJTKF3R4X/MKJTKF3R4X-1/1765547651061-MKJTKF3R4X-1-2.jpg
41,JJO,Short Couple Roturas,Casual,https://www.paris.cl/short-couple-roturas-195863.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/195863/variant/68c198e0780d3177b60d7a45/images/e7d9fb5c-3399-4d89-bf5e-48287499e9f8/195863-0420-002.jpg
42,Zara,CAMISA POLO RAYAS,Formal/Casual,https://www.zara.com/cl/es/camisa-polo-rayas-p05679409.html?v1=498377709&v2=2544445,https://static.zara.net/assets/public/7c38/a0b3/8d2740b3a9ed/097a5d8bdb20/05679409725-p/05679409725-p.jpg?ts=1763480354662&w=1500
43,Gnomo,Short Heve Hombre Gnomo,Casual,https://www.paris.cl/short-heve-hombre-gnomo-MKR6421Z5L.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/prd-cl/product-medias/35f60779-ee04-4b13-9980-a6fa29ff1373/MKR6421Z5L/MKR6421Z5L-1/1758046846610-MKR6421Z5L-1-2.jpg
44,Falabella,Polera de hombre manga corta cuello polo algodón premium roly,Casual,https://www.falabella.com/falabella-cl/product/144925887/Polera-de-hombre-manga-corta-cuello-polo-algodon-premium-roly/144925908,"https://media.falabella.com/falabellaCL/144925908_01/w=1200,h=1200,fit=pad"
45,Greenfield,Polera Cuello Redondo con Bolsillo,Casual,https://www.paris.cl/polera-cuello-redondo-con-bolsillo-178656.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/178656/variant/68c197cc9978bca92e4cbdb4/images/8a120743-cbbc-46c7-8e16-c83d16fafb68/178656-0001-002.jpg
46,Zara,SUDADERA POLO CUELLO CONTRASTE,Casual ,https://www.zara.com/cl/es/sudadera-polo-cuello-contraste-p00526310.html?v1=546081359&v2=2544445,https://static.zara.net/assets/public/9b99/52c2/ad5e46e2a000/5cf32753e825/00526310700-p/00526310700-p.jpg?ts=1780926269847&w=1500
47,Lider,Polera Hombre Regular Fit Básica Beige,Casual,Polera Hombre Regular Fit Básica Beige | Lider,3818437a-2c1f-4d5a-b9b1-32179e2f7baa.f15bfd4aab25a23f5fbe229908245db1.jpeg (612×612)
48,Aussie,Polera Acid Wash,Casual,https://www.paris.cl/polera-acid-wash-285741.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/285741/variant/68d1ad8d5c883251e16783dd/images/34f4e60f-40a6-403f-914c-726d7d4f2adc/285741-0022-002.jpg
49,American Eagle,Polera AE ligera con logo,Casual,https://www.paris.cl/polera-ae-ligera-con-logo-385428.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/385428/variant/69bc286a0d6656ab15c3ea13/images/bbf77c00-04a0-412d-ba3e-7b58dae9affa/385428-0001-002.jpg
50,Zara,CAMISETA RELAXED FIT ESTAMPADOS LAVADOS,casual ,https://www.zara.com/cl/es/camiseta-relaxed-fit-estampados-lavados-p00495450.html?v1=530121373&v2=2544445,https://static.zara.net/assets/public/f672/ee95/2b0f47fab0af/75ce12e8a4f2/00495450807-000-p/00495450807-000-p.jpg?ts=1779981188101&w=1500
51,Legacy,Polera Pique Manga Corta Detalle Cuello,Casual/Formal,https://www.paris.cl/polera-pique-manga-corta-detalle-cuello-201251.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/201251/variant/68c19a995accd9e3bc14b0aa/images/67a3ea35-9353-4c98-b7a7-824baeb9f306/201251-0301-002.jpg
52,Aussie,Polera Tela Ottoman,Casual,https://www.paris.cl/polera-tela-ottoman-285755.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/285755/variant/69a59e37dce0c7935ea691fc/images/c3384191-bbec-4a37-b960-74243a70ef9d/285755-0001-002.jpg
53,Foster,Polera Relajada con Lavado,Casual,https://www.paris.cl/polera-relajada-con-lavado-297956.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/297956/variant/6952cba2c9ce48696fce591a/images/087b7550-c1e2-4464-84bb-4080e8041557/297956-0201-002.jpg
54,American Eagle,Polera Básica AE Lisa Logo,Casual,https://www.paris.cl/polera-basica-ae-lisa-logo-237423.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/237423/variant/68b75d8b225db0bab2683fc7/images/7c06bb56-a716-46f1-9c38-9ef1562a21b3/237423-0001-002.jpg
55,TNK,Poleras Cuello Redondo Basicas 100 Algodon Estampar Bordar,Casual ,https://www.paris.cl/poleras-cuello-redondo-basicas-100-algodon-estampar-bordar-MKB9SGFNBJ.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/prd-cl/product-medias/7dd506ab-4ae3-411d-8e36-4822faf6ce34/MKB9SGFNBJ/MKB9SGFNBJ-21/1773356234445-MKB9SGFNBJ-21-2.jpg
